pointid;plz;ort;strasse;zusatztext;gefoerdert_jahr;note1;note2;bundesland;Breitenangabe;Längenangabe;;
200;3423;St.Andrä-Wördern;Dr. Karl Renner-Allee 14;In Wördern, direkt neben Sportplatz;2008;Spielplatz St. Andrä Wördern;Spielplatz Wördern,3423, St. Andrä-Wördern;N;48.332.203;16.209.668;;
201;4303;St.Pantaleon-Erla;Ringstraße 12;Gegenüber der Volksschule St. Pantaleon;2008;Spielplatz St. Pantaleon;Spielplatz St. Pantaleon-Erla,4303, St. Pantaleon;N;48.210.819;14.566.978;;
202;2134;Staatz;Wultendorf 70 und 116;Spielplatz im Pfarrgarten und bei Hoppel di Poppel;2008;Spiellandschaft Staatz;Spielplatz Wultendorf,2134, Staatz;N;48.662.657;16.463.457;;
203;3552;Stratzing;;Inmitten von Obst- und Weingärten am Ortsende von Stratzing, gegenüber Reitkoppel;2008;"Spielplatz ""Sunogeln""";Spielplatz Stratzing,3552, Stratzing;N;48.450.969;15.597.054;;
204;2604;Theresienfeld;Rilkegasse;Am Ende der Rilkegasse;2008;Spielplatz Theresienfeld;Spielplatz Theresienfeld,2604, Theresienfeld;N;47.860.405;16.261.313;;
205;3961;Waldenstein;;Direkt im Ort, Nähe Dorfplatz;2008;Spielplatz Waldenstein;Spielplatz Waldenstein,3961, Waldenstein;N;48.728.754;15.015.478;;
206;3313;Wallsee-Sindelburg;Beim Donaualtarm;Beim Wassersportzentrum Wallsee, zw. Pfadfinder u. Tennisplätzen;2008;Wasiki-Land;Spielplatz Wallsee,3313, Wallsee-Sindelburg;N;48.170.383;14.711.520;;
207;3435;Zwentendorf an der Donau;;In Erpersdorf direkt in einem Wohngebiet;2008;Spielplatz Erpersdorf;Spielplatz Erpersdorf,3435, Zwentendorf an der Donau;N;48.334.887;15.921.118;;
256;3430;Tulln an der Donau;Ludwig-van-Beethofenstraße;Im Komponistenviertel von Tulln, Nähe Landeskrankenhaus;2008;"Spielplatz ""Komponistenviertel""";Spielplatz Tulln an der Donau,3430, Tulln an der Donau;N;48.318.184;16.060.336;;
257;3321;Ardagger;Ardagger 145;im Komplex der Volks/Hauptschule Ardagger;2009;Schulfreiraum Ardagger;Schulfreiraum Ardagger,3321 Ardagger;N;48.175.218;14.829.965;;
258;3071;Böheimkirchen;Am Berg 4;zwischen Schulkomplex VS Böheimkirchen (bei der Kirche vorbei);2009;Schulfreiraum Böheimkirchen;Schulfreiraum Böheimkirchen,3071 Böheimkirchen;N;48.197.188;15.761.609;;
259;2483;Ebreichsdorf;Wiener Straße;beim Tennisplatz, nach dem FF-Haus (& Parkplatz);2009;Spielplatz Ebreichsdorf;Spielplatz Ebreichsdorf,2483 Ebreichsdorf;N;47.971.286;16.398.810;;
260;3730;Eggenburg;Mozartstrasse 12;bei der Volksschule Eggenburg;2009;Schulfreiraum Eggenburg;Schulfreiraum Eggenburg,3730 Eggenburg;N;48.647.718;15.815.582;;
261;2133;Fallbach, KG Loosdorf;;in Loosdorf auf einem Hügel am Ende der Ortschaft;2009;Spielplatz Loosdorf;Spielplatz Loosdorf,2133 Fallbach;N;48.655.357;16.417.876;;
262;2401;Fischamend;Am Rosenhügel;"im Siedlungsgebiet ""Am Rosenhügel""";2009;"Spielplatz am Rosenhügel, ""Fische-Welle-Spiel""";Spielplatz Fischamend,2401 Fischamend;N;48.114.348;16.620.440;;
263;2564;Furth;Festplatz;hinter dem Kindergarten und der Schule;2009;Spielplatz Furth an der Triesting;Spielplatz Furth an der Triesting,2564 Furth/Triesting;N;47.972.420;15.974.294;;
264;3492;Etsdorf;Hauptstraße 109;im Komplex der HS/PTS Grafenegg;2009;Schulfreiraum Grafenegg;Schulfreiraum Grafenegg,3492 Etsdorf;N;48.446.220;15.738.948;;
265;2171;Herrnbaumgarten;gegenüber Hauptstraße 99;am Ende der Ortschaft Herrnbaumgarten, beim Sportplatz;2009;Spielplatz Herrnbaumgarten;Spielplatz Herrnbaumgarten,2171 Herrnbaumgarten;N;48.697.965;16.689.341;;
266;3131;Inzersdorf;Siedlungsstrasse/ Feldweg;inmitten von Wohnhausanlagen, in der Nähe von Sportplatz und Kirche;2009;"Spielplatz ""Getziwiese""";Spielplatz Inzersdorf-Getzersdorf,3131 Inzersdorf;N;48.314.426;15.681.417;;
267;3441;Judenau-Baumgarten;Hauptstraße 28;unmittelbar bei der VS Judenau-Baumgarten;2009;Schulfreiraum Judenau-Baumgarten;Schulfreiraum Judenau-Baumgarten,3441 Judenau-Baumgarten;N;48.281.098;16.023.884;;
268;3241;Kirnberg;Sonnenweg 3;in der Nähe vom Fußballplatz;2009;Spielplatz Kirnberg;Spielplatz Kirnberg an der Mank,3241 Kirnberg an der Mank;N;48.073.700;15.318.005;;
269;3552;Lengenfeld;Florianiplatz;unmittelbar beim Feuerwehrhaus, Arzt und Sportplatz;2009;Spielplatz Lengenfeld;Spielplatz Lengenfeld,3552 Lengenfeld;N;48.471.231;15.607.967;;
270;2340;Mödling;Hyrtlstraße/Schulweg;zentral am Mödlingbach im Hyrtlpark;2009;Spielplatz Mödling;Spielplatz Mödling,2340 Mödling;N;48.084.918;16.305.369;;
272;2511;Pfaffstätten;Dr.Josef-Dolp Straße;am Ortsrand von Pfaffstätten inmitten von Weingärten;2009;Spielplatz Pfaffstätten;Spielplatz Pfaffstätten,2511 Pfaffstätten;N;48.019.793;16.266.953;;
273;3525;Sallingberg KG Armschlag;Mohngartenstadl;in Armschlag, neben dem Mohndorf, davor ist der große Parkplatz des Mohndorfes;2009;Mohngartenspielplatz Armschlag;Spielplatz Sallingberg KG Armschlag,3525 Sallingberg;N;48.466.761;15.230.156;;
274;3491;Straß im Straßertal;neben dem Kindergarten;Ortskern von Straß, unmittelbar neben Kindergarten;2009;Spielplatz Straß;Spielplatz Straß im Straßertal,3491 Straß;N;48.471.048;15.738.436;;
275;3261;Wolfpassing;zwischen Eisenbahn und Hummelbach;zentral im Dorfgebiet Wolfpassing, neben dem Fußballplatz;2009;Spielplatz Wolfpassing;Spielplatz Wolfpassing,3261 Wolfpassing;N;48.078.292;15.063.119;;
276;2211;Pillichsdorf;neben dem Fußballplatz unweit des Ortszentrums;unmittelbar neben dem Fußballplatz und Tenniszentrum, neben der Bahn und dem Radweg;2010;Spielplatz Pillichsdorf;Spielplatz Pillichsdorf , 2211 Pillichsdorf;N;48.364.564;16.541.112;;
277;2304;Orth an der Donau;Am Markt 30;direkt bei der VS Orth an der Donau;2009;Schulfreiraum Orth an der Donau;Schulfreiraum Orth an der Donau,2304 Orth an der Donau;N;48.146.596;16.704.419;;
278;2460;Bruck an der Leitha;Harrachpark;Harrachpark, Eingang Kreisverkehr Rohrauer Strasse;2010;Spielplatz im Harrachpark;Spielplatz Bruck an der Leitha , 2460 Bruck an der Leitha;N;48.025.909;16.778.966;;
279;3160;Traisen;Dolezalstraße;im Ortsteil Traisen-Siedlung, Winklerwald- Linzerhof;2010;Spielplatz Traisen;Spielplatz Traisen , 3160 Traisen;N;48.048.224;15.624.996;;
280;3211;Loich;direkt im Ort Loich;direkt im Ort, oberhalb der Kirche, der Volksschule und des Gemeindeamtes;2010;Schulfreiraum Loich;Schulfreiraum/ Spielplatz Loich , 3211 Loich;N;47.996.484;15.401.542;;
281;3423;St.Andrä-Wördern;Greifensteiner Strasse 22;direkt neben der Volksschule St.Andrä-Wördern;2010;Schulfreiraum St.Andrä-Wördern;Schulfreiraum St.Andrä-Wördern , 3423 St.Andrä-Wördern;N;48.322.832;16.211.087;;
282;3470;Kirchberg am Wagram;neben dem Alchemistenpark;unmittelbar beim Alchemistenpark, gegenüber vom Friedhof;2010;Spielplatz Kirchberg am Wagram;Spielplatz Kirchberg am Wagram , 3470 Kirchberg am Wagram;N;48.435.375;15.902.369;;
283;3683;Yspertal;neben dem Kindergarten und der HLUW;neben dem Kindergarten und der HLUW Yspertal;2010;Spielplatz Yspertal;Spielplatz Yspertal , 3683 Yspertal;N;48.286.267;15.064.292;;
284;3691;Nöchling;direkt im Ortszentrum Nöchling;direkt im Ort, neben dem Friedhof und hinter einem großen Parkplatz;2010;Spielplatz Nöchling;Spielplatz Nöchling , 3691 Nöchling;N;48.224.287;14.982.767;;
285;3511;Thallern;;;;Spielplatz Thallern;Spielplatz Thallern,3511, Thallern;N;48.383.662;15.647.787;;
286;2212;Groß Engersdorf;Bahngasse;am Ortsrand nebem dem Sportzentrum;2011;Spielplatz Groß Engersdorf;Spielplatz Gross Engersdorf,2212, Groß Engersdorf;N;48.357.865;16.569.863;;
287;2620;Neunkirchen KG Mollram;Gartengasse;;2011;Spielplatz Mollram;Spielplatz Mollram,2620, Neunkirchen;N;47.759.244;16.088.384;;
288;2171;Poysdorf;VS Poysdorf Wiener Straße 3;Schulfreiraum;2011;Schulfreiraum VS Poysdorf;Schulfreiraum VS Poysdorf,2171, Poysdorf;N;48.696.763;16.680.496;;
289;3594;Pölla KG Franzen;Franzen 2;neben Jugendgästehaus;2011;Spielplatz Pölla KG Franzen;Spielplatz Pölla KG Franzen,3594, Pölla KG Franzen;N;48.619.301;15.396.101;;
290;3931;Schweiggers;Am Schulberg;neben Tennisplatz;2011;Spielplatz Schweiggers;Spielplatz Schweiggers ,3931, Schweiggers;N;48.668.392;15.065.276;;
291;3362;Öed-Öhling;;neben VS Oed, direkt neben dem Friedhof;2013;Spielplatz Oed-Öhling;Spielplatz Oed, 3362, Oed-Öhling;N;48.121.835;14.738.493;;
292;2464;Göttlesbrunn-Arbesthal;Florianigasse;neben VS Oed, direkt neben dem Friedhof;2013;Spielplatz Göttlesbrunn-Arbesthal;Spielplatz Göttlesbrunn-Arbesthal, 2464, Göttlesbrunn;N;48.055.464;16.742.210;;
293;2232;Aderklaa;;an der Ortseinfahrt in Richtung Gänserndorf links;2013;Spielplatz Aderklaa;Spielplatz Aderklaa, 2232, Aderklaa;N;48.285.080;16.534.115;;
294;2273;Hohenau a.d. March;;;2013;Spielplatz Hohenau a.d. March;Spielplatz, 2273, Hohenau an der March;N;48.610.860;16.897.434;;
295;2070;Retz;;;2013;Spielplatz Retz;Spielplatz, 2070, Retz;N;48.759.952;15.957.966;;
296;3170;Hainfeld;Badpromenade;Neben dem Freibad Hainfeld;2013;Spielplatz Hainfeld;Spielplatz, 3170, Wien;N;48.035.391;15.774.990;;
297;3650;Pöggstall;;Direkt beim Freibad und Tennisplatz;2013;Spielplatz Pöggstall;Spielplatz, 3650, Pöggstall;N;48.315.124;15.204.732;;
298;3123;Obritzberg;;;2013;Spielplatz Obritzberg;Spielplatz, 3123 , Obritzberg;N;48.289.650;15.601.875;;
299;3462;Absdorf (bei Tulln);Bahnstraße;beim Bahnhof Absdorf, neben Freibad;2013;Spielplatz Absdorf (bei Tulln);Spielplatz, 3462,  Absdorf;N;48.404.965;15.981.691;;
300;3912;Grafenschlag;am Dorfanger;am Dorfanger;2013;spielplatz Grafenschlag;Spielplatz, 3912, Grafenschlag;N;48.499.101;15.170.488;;
301;2853;Bad Schönau;am Kurpark;im Kurzpark Bad Schönau;2014;Spielplatz Bad Schönau;Spielplatz, 2863, Bad Schönau;N;47.490.025;16.232.532;;
302;2222;Bad-Pirawarth;Kurhausstraße;Im Park vor dem Rehazentrum Bad Pirawarth;2014;spielplatz Bad-Pirawarth;Spielplatz, 2222, Bad Pirawarth;N;48.449.467;16.608.177;;
303;3130;VS Herzogenburg;Schulgasse 3;Schulfreiraum;2014;Schulfreiraum VS Herzogenburg;Schulfreiraum VS Herzogenburg, 3130, Herzogenburg;N;48.285.561;15.690.433;;
304;3240;Mank KG Groß Aigen;am Zettlbach;im Ortsgebiet von Groß Aigen, zwischen Radweg und Beachvolleabyllplatz;2014;Spielplatz Mank KG Groß Aigen;Spielplatz, 3240, Mank KG Groß Aigen;N;48.094.802;15.359.775;;
305;3663;Münichreith-Laimbach;;In Laimbach nahe beim Feuerwehrhaus;2014;Spielplatz Münichreith-Laimbach;Spielplatz, 3663 Münichreith-Laimbach;N;48.317.557;15.122.242;;
306;2563;Pottenstein;Hausbergweg 1;neben Hort und VS;2014;Spielplatz Pottenstein;Spielplatz, 2563, Pottenstein;N;47.961.867;16.095.182;;
307;3751;Sigmundsherberg;;;2014;Spielplatz Sigmundsherberg;Spielplatz, 3751, Sigmundsherberg;N;48.686.469;15.748.192;;
308;3620;Spitz an der Donau;Siedlung Erlahof;beim Schifffahrtsmuseum;2014;Spielplatz Spitz an der Donau;Spielplatz, 3620, Spitz an der Donau ;N;48.362.925;15.416.675;;
309;2881;Trattenbach;Trattenbach 76 ;bei der VS Trattenbach;2014;Spielplatz Trattenbach;Spielplatz, 2881, Trattenbach;N;47.602.862;15.892.454;;
310;3424;Zeiselmauer-Wolfpassing;;beim Bahnhof Zeiselmauer/Wolfpassing;2014;Spielplatz Zeiselmauer-Wolfpassing;Spielplatz, 3224, Zeiselmauer-Wolfpassing;N;48.326.292;16.175.634;;
311;3643;VS Maria Laach am Jauerling;Maria Laach Nr. 70;Schulfreiraum;2015;Schulfreiraum VS Maria Laach am Jauerling;Schulfreiraum VS Matria Laa am Jauerling, 3643, Maria Laach am Jauerling;N;48.301.364;15.344.570;;
312;2230;VS Gänserndorf;Siebenbrunnerstraße 7;Schulfreiaum bei VS/ASO;2015;Schulfreiraum VS Gänserndorf;Schulfreiruam VS Gänserndorf , 2230, Gänserndorf;N;48.335.656;16.719.467;;
313;3462;VS Absdorf;Schulstraße 1;Schulfreiraum VS Absdorf;2015;Schulfrieraum VS Absdorf;Schulfreiraum VS Absdorf, 3462, Absdorf;N;48.399.927;15.982.153;;
314;3350;NNÖMS Haag;;Generationenprojekt Haag bei NMS, Spielplatz und Seniorenzentrum Liese Prokopp;2015;Schulfreiraum NNÖMS Haag;Generationenprojekt, 3350, Haag;N;48.111.467;14.575.292;;
315;3352;VS St. Peter in der Au;St. Johann 123;Schulfreiraum VS St. Johann in Engstetten hinter der VS;2015;Schulfreiraum VS St. Peter in der Au;Schulfreiraum VS St. Johann, 3352, St. Peter in der Au;N;48.074.774;14.615.429;;
316;2061;VS Hadres;Hadres 2;Schulfreiraum VS Hadres;2015;Schulfreiraum VS Hadres;Schulfreiraum VS  Hadres, 2061, Hadres;N;48.709.295;16.130.432;;
317;2153;NNÖMS Stronsdorf;Stronsdorf 3;Schulfreiraum NNÖMS Stronsdorf;2015;Schulfreiraum NNÖMS Stronsdorf;Schulfreiraum NMS Stronsdorf, 2153, Stronsdorf;N;48.650.717;16.298.636;;
318;2534;VS Alland;Heiligenkreuzer Str. 151;Schulfreiraum VS Alland;2015;Schulfreiraum VS Alland;Schulfreiraum VS Alland, 2534, Alland;N;48.058.294;16.083.201;;
319;3153;VS Eschenau;Schulgasse 3;Schulfreiraum VS Eschenau;2015;Schulfreiraum VS Eschenau;Schulfreiraum VS Eschenau, 3153, Eschenau;N;48.049.031;15.566.648;;
320;3100;Diözese St. Pölten/KPH Krems;St. Paul Gasse ;Schulfreiraum KPH Krems;2015;Schulfreiraum Diözese St. Pölten/KPH Krems;Schulfreiraum KPH, Krems;N;48.408.541;15.616.738;;
321;2000;VS Stockerau;Schulweg  4;Schulfreiraum VS Stockerau;2015;Schulfreiraum VS Stockerau;Schulfreiraum VS Stockerau;N;48.388.570;16.211.230;;
322;3511;VS Furth bei Göttweig;Kirchengasse 51;Schulfreiraum VS Furth Göttweig;2015;Schulfreiraum VS Furth bei Göttweig;Schulfreiraum VS Furth/Göttweig, 3511, Furth bei Göttweig;N;48.374.017;15.612.542;;
323;3100;VS St. Pölten Viehofen;Austinstraße ;Schulfreiraum VS St. Pölten Viehofen;2015;Schulfreiraum VS St. Pölten Viehofen;Schulfreiraum VS St. Plölten-Viehofen, 3100, St. Pölten;N;48.228.186;15.640.677;;
324;3950;VS Gmünd;Volksheimgasse 4;Schulfreiraum VS Gmünd;2015;Schulfreiraum VS Gmünd;Schulfreiraum VS Gmünd, 3950, Gmünd;N;48.767.331;14.987.179;;
325;3972;VS + NNÖMS Bad Großpertholz;Bad Großpertholz 180;Schulfreiraum VS und NMS Bad Großpertholz;2015;Schulfreiraum VS + NNÖMS Bad Großpertholz;Schulfreiraum VS und NMS Bad Großpertholz, 3972, Bad Großpertholz;N;48.628.572;14.820.931;;
326;2380;VS Perchtoldsdorf;Sebastian-Kneippgasse 20-26;Schulfreiraum VS Perchtoldsdorf;2015;SchulfreiraumVS Perchtoldsdorf;Schulfreiraum VS Perchtoldsdorf, 2380, Perchtoldsdorf;N;48.125.276;16.281.425;;
327;3710;VS Ziersdorf;Erlenaugasse 10;Schulfreiraum VS Ziersdorf;2015;Schulfreiraum VS Ziersdorf;Schulfreiraum VS Ziersdorf, 3710, Ziersdorf;N;48.527.268;15.931.302;;
328;3100;NNÖMS St. Pölten KG Pottenbrunn;Weiglstraße 8;Schulfreiraum NMS Pottenbrunn;2015;SchulfreiraumNNÖMS St. Pölten KG Pottenbrunn;Schulfreiraum NMS Pottenbrunn, 3100, St. Pölten;N;48.238.009;15.689.295;;
329;2320;NNÖMS Schwechat;Europaplatz 1;Schulfreiraum NMS Schwechat Frauenfeld;2015;Schulfreiraum NNÖMS Schwechat;Schulfreiraum NMS Schwechat Frauenfeld, 2320, Schwechat;N;48.133.829;16.465.833;;
330;2873;VS Feistritz am Wechsel;Feistritz am Wechsel 125;Schulfreiraum VS Feistritz am Wechsel;2015;SchulfreiraumVS Feistritz am Wechsel;Schulfreiraum VS Feistritz am Wechsel, 2873, Feistritz am Wechsel;N;47.599.924;16.051.722;;
331;3233;Kilb;;in der Nähe des Kidergartens neben dem betreuten Wohnen;2015;Spielplatz Kilb;Spielplatz, 3233, Kilb;N;48.100.013;15.411.055;;
332;3324;Euratsfeld;;unmittelbar beim Sportplatz;2015;Spielplatz Euratsfeld;Spielplatz, 3324, Euratsfeld;N;48.087.137;14.934.640;;
333;3362;Oed Öhling;;Spieplatz Öhler Mühle in Öhling;2015;Spielplatz Oed Öhling;Spielplatz, 3362, Oed Öhling;N;48.101.185;14.799.537;;
334;2522;Oberwaltersdorf;Erlenweg;;2015;Spielplatz Oberwaltersdorf;Spielplatz, 2522, Oberwaltersdorf;N;47.971.743;16.322.523;;
335;3632;Bad Traunstein;;bei der Freizeitanlage Bad Traunstein;2015;Spielplatz Bad Traunstein;Spielplatz, 3632, Bad Traunstein;N;48.436.782;15.119.075;;
336;2144;Altlichtenwarth;;beim Löschteich der Gem. Altlichtenwarth;2015;Spielplatz Altlichtenwarth;Spielplatz, 2144, Altlichtenwarth;N;48.645.492;16.790.351;;
337;3250;Wieselburg;Neubaugasse ;;2015;Spielplatz Wieselburg;Spielplatz, 3250, Wiesleburg;N;48.138.385;15.141.225;;
338;2803;Schwarzenbach;Föhrensiedlung;;2015;Spielplatz Schwarzenbach;Spielplatz, 2803, Schwarzenbach;N;47.640.893;16.342.764;;
339;2521;Trumau ;Alberndorferstraße;;2015;Spielplatz Trumau ;Spielplatz, 2521, Trumau;N;47.992.310;16.349.654;;
340;3601;Dürnstein;;in der KG Unterloiben beim Kindergarten;2015;Spielplatz Dürnstein;Spielplatz, 3601, Dürnstein;N;48.387.154;15.540.733;;
